"title"	"auteur"	"pid"	"venue"	"volume"	"number"	"pages"	"year"	"key"	"type"	"doi"	"ee"	"url"
"Integration of properties of virtual reality, artificial neural networks, and artificial intelligence in the automation of software tests - A review."	"    Edgar Serna M.    Eder Acevedo M.    Alexei Serna A."	"    115/4732    248/4596    150/3182"	"Journal of Software - Evolution and Process"	"31"	"7"	"/"	"2019"	"journals/smr/MMA19"	"Journal Articles"	"10.1002/SMR.2159"	"https://doi.org/10.1002/smr.2159"	"https://dblp.org/rec/journals/smr/MMA19"
"Knowledge meaning and management in requirements engineering."	"    Edgar Serna M.    Oscar Bachiller S.    Alexei Serna A."	"    115/4732    199/3219    150/3182"	"Int. J. Inf. Manag."	"37"	"3"	"155-161"	"2017"	"journals/ijinfoman/MSA17"	"Journal Articles"	"10.1016/J.IJINFOMGT.2017.01.005"	"https://doi.org/10.1016/j.ijinfomgt.2017.01.005"	"https://dblp.org/rec/journals/ijinfoman/MSA17"
"Power and limitations of formal methods for software fabrication - Thirty years later."	"    Edgar Serna M.    Alexei Serna A."	"    115/4732    150/3182"	"Informatica"	"41"	"3"	"/"	"2017"	"journals/informaticaSI/MA17"	"Journal Articles"	"/"	"http://www.informatica.si/index.php/informatica/article/view/1534"	"https://dblp.org/rec/journals/informaticaSI/MA17"
"Ontology for knowledge management in software maintenance."	"    Edgar Serna M.    Alexei Serna A."	"    115/4732    150/3182"	"Int. J. Inf. Manag."	"34"	"5"	"704-710"	"2014"	"journals/ijinfoman/MA14"	"Journal Articles"	"10.1016/J.IJINFOMGT.2014.06.005"	"https://doi.org/10.1016/j.ijinfomgt.2014.06.005"	"https://dblp.org/rec/journals/ijinfoman/MA14"
"Prefrontal Dynamics Associated with Efficient Detours and Shortcuts - A Combined Functional Magnetic Resonance Imaging and Magnetoencenphalography Study."	"    Amir Homayoun Javadi    Eva Zita Patai    Eugenia Marin-Garcia    Aaron Margolis    Heng-Ru May Tan    Dharshan Kumaran    Marko Nardini    Will D. Penny    Emrah Düzel    Peter S. Dayan    Hugo J. Spiers"	"    157/8829    121/8974    245/1340    245/1479    138/7992    174/5441    245/1476    72/4293    97/3930    22/522    165/4481"	"J. Cognitive Neuroscience"	"31"	"8"	"1227-1247"	"2019"	"journals/jocn/JavadiPMMTKNPDD19"	"Journal Articles"	"10.1162/JOCN_A_01414"	"https://doi.org/10.1162/jocn_a_01414"	"https://dblp.org/rec/journals/jocn/JavadiPMMTKNPDD19"
"Transcranial Direct Current Stimulation of the Motor Cortex Biases Action Choice in a Perceptual Decision Task."	"    Amir Homayoun Javadi    Angeliki Beyko    Vincent Walsh    Ryota Kanai"	"    157/8829    169/5836    69/25    60/8699"	"J. Cognitive Neuroscience"	"27"	"11"	"2174-2185"	"2015"	"journals/jocn/JavadiBWK15"	"Journal Articles"	"10.1162/JOCN_A_00848"	"https://doi.org/10.1162/jocn_a_00848"	"https://dblp.org/rec/journals/jocn/JavadiBWK15"
"Adolescents Adapt More Slowly than Adults to Varying Reward Contingencies."	"    Amir Homayoun Javadi    Dirk H. K. Schmidt    Michael N. Smolka"	"    157/8829    157/8696    83/10744"	"J. Cognitive Neuroscience"	"26"	"12"	"2670-2681"	"2014"	"journals/jocn/JavadiSS14"	"Journal Articles"	"10.1162/JOCN_A_00677"	"https://doi.org/10.1162/jocn_a_00677"	"https://dblp.org/rec/journals/jocn/JavadiSS14"
"Transcranial electrical brain stimulation modulates neuronal tuning curves in perception of numerosity and duration."	"    Amir Homayoun Javadi    Iva K. Brunec    Vincent Walsh    Will D. Penny    Hugo J. Spiers"	"    157/8829    165/4637    69/25    72/4293    165/4481"	"NeuroImage"	"102"	"/"	"451-457"	"2014"	"journals/neuroimage/JavadiBWPS14"	"Journal Articles"	"10.1016/J.NEUROIMAGE.2014.08.016"	"https://doi.org/10.1016/j.neuroimage.2014.08.016"	"https://dblp.org/rec/journals/neuroimage/JavadiBWPS14"
"Introducing Climax - A novel strategy to a tri-wheel spiral robot."	"    Amir Homayoun Javadi A.    Puyan Mojabi"	"    157/8829    83/3735"	"Robotics Auton. Syst."	"51"	"4"	"297-310"	"2005"	"journals/ras/AM05"	"Journal Articles"	"10.1016/J.ROBOT.2004.05.007"	"https://doi.org/10.1016/j.robot.2004.05.007"	"https://dblp.org/rec/journals/ras/AM05"
"Analytical model for Binding Refresh Request to reduce storage and communication overhead in MIPv6 network."	"    Avelin Diana A.    K. Sundarakantham    S. Mercy Shalinie    Rajendran L."	"    151/1529    54/8656    93/4887    151/1531"	"Int. Journal of Network Management"	"24"	"5"	"402-414"	"2014"	"journals/ijnm/ASSL14"	"Journal Articles"	"10.1002/NEM.1871"	"https://doi.org/10.1002/nem.1871"	"https://dblp.org/rec/journals/ijnm/ASSL14"
"Designing a New Assertion Constraints Model for Mobile Databases."	"    Belal Mohammad Zaqaibeh    Firas Ali Albalas    Awajan W. A."	"    27/11299    51/11299    46/11299"	"iJIM"	"6"	"2"	"39-46"	"2012"	"journals/ijim/ZaqaibehAA12"	"Journal Articles"	"/"	"https://www.online-journals.org/index.php/i-jim/article/view/1836"	"https://dblp.org/rec/journals/ijim/ZaqaibehAA12"
"Real time energy efficient data aggregation and scheduling scheme for WSN using ATL."	"    Khadir Kumar N.    Bharathi A."	"    258/9047    258/8591"	"Comput. Commun."	"151"	"/"	"202-207"	"2020"	"journals/comcom/NA20"	"Journal Articles"	"10.1016/J.COMCOM.2019.12.027"	"https://doi.org/10.1016/j.comcom.2019.12.027"	"https://dblp.org/rec/journals/comcom/NA20"
"MapReduce Based Information Retrieval Algorithms for Efficient Ranking of Webpages."	"    Srinivasa K. G.    Anil Kumar Muppalla    Bharghava Varun A.    Amulya M."	"    73/11139    120/3439    120/3495    120/3452"	"IJIRR"	"1"	"4"	"23-37"	"2011"	"journals/ijirr/GMAM11"	"Journal Articles"	"10.4018/IJIRR.2011100102"	"https://doi.org/10.4018/ijirr.2011100102"	"https://dblp.org/rec/journals/ijirr/GMAM11"
"Diseño y validación de un objeto virtual de aprendizaje que permita el aprendizaje de heurísticas y metaheurísticas."	"    Carlos A. Vega A.    Juan A. Chica U."	"    02/9510    88/9509"	"RASI"	"7"	"3"	"103-108"	"2010"	"journals/rasi/AU10"	"Journal Articles"	"/"	"http://www.minas.medellin.unal.edu.co/index.php?option=com_docman&amp;task=doc_details&amp;gid=1740&amp;Itemid=285"	"https://dblp.org/rec/journals/rasi/AU10"
"Lectura automática de medidores de consumo de agua con tecnología Bluetooth."	"    Carlos A. Lozano    Carlos Toro B.    David Castaño A."	"    97/9532    83/9536    30/9532"	"RASI"	"6"	"1"	"207-212"	"2009"	"journals/rasi/LozanoBA09"	"Journal Articles"	"/"	"http://www.minas.medellin.unal.edu.co/index.php?option=com_docman&amp;task=doc_view&amp;gid=569&amp;tmpl=component&amp;format=raw&amp;Itemid=285"	"https://dblp.org/rec/journals/rasi/LozanoBA09"
"Sistemas de Información Geográfica (SIG) y Teoría de Percolación Aplicados al Estudio de Fenómenos de Propagación en Epidemiología."	"    Libardo A. Londoño C.    Daniel Horfan Álvarez    Juan E. Arroyave Z.    Dayro G. Longas A."	"    16/9569    88/9485    58/9569    25/9569"	"RASI"	"4"	"1"	"23-32"	"2007"	"journals/rasi/CAZA07"	"Journal Articles"	"/"	"http://pisis.unalmed.edu.co/avances/archivos/ediciones/Edicion%20Avances%202007%201/4.pdf"	"https://dblp.org/rec/journals/rasi/CAZA07"
"Identification of malicious android app using manifest and opcode features."	"    Varsha M. V.    P. Vinod    K. A. Dhanya"	"    172/9147    60/6873    154/8831"	"J. Computer Virology and Hacking Techniques"	"13"	"2"	"125-138"	"2017"	"journals/virology/VVD17"	"Journal Articles"	"10.1007/S11416-016-0277-Z"	"https://doi.org/10.1007/s11416-016-0277-z"	"https://dblp.org/rec/journals/virology/VVD17"
"DoS Attacks Flood Techniques."	"    Lidia Prudente Tixteco    Eleazar Aguirre A.    Alba F. Moreno Hdez.    Ruben J. García V."	"    85/10918    74/10918    24/10919    11/10919"	"IJCOPI"	"3"	"2"	"3-13"	"2012"	"journals/ijcopi/TixtecoAHV12"	"Journal Articles"	"/"	"http://ijcopi.org/ojs/index.php?journal=ijcopi&amp;page=article&amp;op=view&amp;path%5B%5D=88"	"https://dblp.org/rec/journals/ijcopi/TixtecoAHV12"
"Comparative analysis of discretization methods in Bayesian networks."	"    Farnaz Nojavan A.    Song S. Qian    Craig A. Stow"	"    191/5397    35/7260    148/2472"	"Environ. Model. Softw."	"87"	"/"	"64-71"	"2017"	"journals/envsoft/AQS17"	"Journal Articles"	"10.1016/J.ENVSOFT.2016.10.007"	"https://doi.org/10.1016/j.envsoft.2016.10.007"	"https://dblp.org/rec/journals/envsoft/AQS17"
"Spherical fuzzy soft sets and its applications in decision-making problems."	"    Fathima Perveen P. A.    Sunil Jacob John    K. V. Babitha    Harish Garg"	"    255/8049    93/990    07/8868    80/9323"	"Journal of Intelligent and Fuzzy Systems"	"37"	"6"	"8237-8250"	"2019"	"journals/jifs/AJBG19"	"Journal Articles"	"10.3233/JIFS-190728"	"https://doi.org/10.3233/JIFS-190728"	"https://dblp.org/rec/journals/jifs/AJBG19"
"Sequential Pattern Mining for Intrusion Detection System with Feature Selection on Big Data."	"    Fidalcastro A.    E. Baburaj"	"    216/4976    91/6179"	"TIIS"	"11"	"10"	"5023-5038"	"2017"	"journals/itiis/AE17"	"Journal Articles"	"10.3837/TIIS.2017.10.018"	"https://doi.org/10.3837/tiis.2017.10.018"	"https://dblp.org/rec/journals/itiis/AE17"
"A deep heterogeneous feature fusion approach for automatic land-use classification."	"    Fotso Kamga Guy A.    Tallha Akram    Laurent Bitjoka    Syed Rameez Naqvi    Mengue Mbom Alex    Muhammad Nazeer"	"    226/9884    201/1079    201/5270    123/8054    226/9699    126/4877"	"Inf. Sci."	"467"	"/"	"199-218"	"2018"	"journals/isci/AABNAN18"	"Journal Articles"	"10.1016/J.INS.2018.07.074"	"https://doi.org/10.1016/j.ins.2018.07.074"	"https://dblp.org/rec/journals/isci/AABNAN18"
"Security in MANET&apos;s by Using Detective Signature Techniques."	"    Gayathri A.    P. Narayanasamy"	"    203/5802    23/6878"	"JCS"	"11"	"3"	"526-533"	"2015"	"journals/jcsci/AN15"	"Journal Articles"	"10.3844/JCSSP.2015.526.533"	"https://doi.org/10.3844/jcssp.2015.526.533"	"https://dblp.org/rec/journals/jcsci/AN15"
"Minimizing roundtrip response time in distributed databases with vertical fragmentation."	"    Rodolfo A. Pazos Rangel    Graciela Vázquez A.    José Antonio Martínez Flores    Joaquín Pérez Ortega    Gilberto Martínez-Luna"	"    p/RodolfoAPazosR    59/813    85/3473    p/JoaquinPerezOrtega    63/7294"	"J. Comput. Appl. Math."	"259"	"/"	"905-913"	"2014"	"journals/jcam/RangelAFOM14"	"Journal Articles"	"10.1016/J.CAM.2013.09.057"	"https://doi.org/10.1016/j.cam.2013.09.057"	"https://dblp.org/rec/journals/jcam/RangelAFOM14"
"The Dissociation between Polarity, Semantic Orientation, and Emotional Tone as an Early Indicator of Cognitive Impairment."	"    Susana Alexandra Arias Tapia    Rafael Martínez-Tomás    Héctor F. Gómez A.    Víctor Hernández del Salto    Javier Sánchez Guerrero    J. A. Mocha-Bonilla    José Barbosa Corbacho    Azizudin Khan    Veronica Chicaiza Redin"	"    120/3734    03/3419    153/6617    177/3454    177/3439    185/9299    185/9266    185/9032    185/9485"	"Front. Comput. Neurosci."	"2016"	"/"	"/"	"2016"	"journals/ficn/TapiaMASGMCKR16"	"Journal Articles"	"10.3389/FNCOM.2016.00095"	"https://doi.org/10.3389/fncom.2016.00095"	"https://dblp.org/rec/journals/ficn/TapiaMASGMCKR16"
"Using semantic technologies and the OSU ontology for modelling context and activities in multi-sensory surveillance systems."	"    Héctor F. Gómez A.    Rafael Martínez-Tomás    Susana Arias Tapia    Mariano Rincón-Zamorano"	"    153/6617    03/3419    120/3734    33/2683"	"Int. J. Systems Science"	"45"	"4"	"798-809"	"2014"	"journals/ijsysc/GomezMTR14"	"Journal Articles"	"10.1080/00207721.2013.801095"	"https://doi.org/10.1080/00207721.2013.801095"	"https://dblp.org/rec/journals/ijsysc/GomezMTR14"
"Carotid wall segmentation in longitudinal ultrasound images using structured random forest."	"    Y. Nagaraj    C. S. Asha    Hema Sai Teja A.    A. V. Narasimhadhan"	"    210/7082    213/9494    223/3675    213/9408"	"Comput. Electr. Eng."	"69"	"/"	"753-767"	"2018"	"journals/cee/NagarajAAN18"	"Journal Articles"	"10.1016/J.COMPELECENG.2018.02.010"	"https://doi.org/10.1016/j.compeleceng.2018.02.010"	"https://dblp.org/rec/journals/cee/NagarajAAN18"
"The Convergence of Symmetric Threshold Automata"	"    Eric Goles Ch.    J. Olivos A."	"    84/3024    98/4721"	"Information and Control"	"51"	"2"	"98-104"	"1981"	"journals/iandc/GolesO81"	"Journal Articles"	"10.1016/S0019-9958(81)90208-4"	"https://doi.org/10.1016/S0019-9958(81)90208-4"	"https://dblp.org/rec/journals/iandc/GolesO81"
"Presas y cazadores - un enfoque desde las redes neuronales."	"    José L. Uribe A.    Adith Perez"	"    36/9548    31/386"	"RASI"	"5"	"1"	"155-162"	"2008"	"journals/rasi/AP08"	"Journal Articles"	"/"	"http://www.minas.medellin.unal.edu.co/index.php?option=com_docman&amp;task=doc_view&amp;gid=166&amp;tmpl=component&amp;format=raw&amp;Itemid=285"	"https://dblp.org/rec/journals/rasi/AP08"
"Analysis of the use of DVB-RCS Resource Assignment Mechanisms for Internet Traffic."	"    Gustavo Xavier Chafla    Fco. Rodriguez Clavijo    Juan Fco. Chafla A."	"    61/10918    51/10918    36/10918"	"IJCOPI"	"3"	"2"	"54-67"	"2012"	"journals/ijcopi/ChaflaCA12"	"Journal Articles"	"/"	"http://ijcopi.org/ojs/index.php?journal=ijcopi&amp;page=article&amp;op=view&amp;path%5B%5D=84"	"https://dblp.org/rec/journals/ijcopi/ChaflaCA12"
"PIXBAS &quot;Pixel Based Offline Signature Verification&quot;."	"    Ashwin C. S.    Harihar V.    Karthick G.    Karthik A.    Rangarajan K. R."	"    04/9090    52/9090    55/9090    26/9090    28/9091"	"AISS"	"2"	"3"	"14-17"	"2010"	"journals/aiss/SVGAR10"	"Journal Articles"	"/"	"http://www.aicit.org/aiss/ppl/2%20-%20AISS3-075013.pdf"	"https://dblp.org/rec/journals/aiss/SVGAR10"
"A Fault-Tolerant Multilevel Inverter for Improving the Performance of a Pole-Phase Modulated Nine-Phase Induction Motor Drive."	"    B. Prathap Reddy    Madhukar Rao A.    Manoranjan Sahoo    Sivakumar Keerthipati"	"    211/0621    170/8755    196/5930    196/6070"	"IEEE Trans. Industrial Electronics"	"65"	"2"	"1107-1116"	"2018"	"journals/tie/ReddyASK18"	"Journal Articles"	"10.1109/TIE.2017.2733474"	"https://doi.org/10.1109/TIE.2017.2733474"	"https://dblp.org/rec/journals/tie/ReddyASK18"
"A Fault-Tolerant Single-Phase Five-Level Inverter for Grid-Independent PV Systems."	"    Madhukar Rao A.    Sivakumar Keerthipati"	"    170/8755    196/6070"	"IEEE Trans. Industrial Electronics"	"62"	"12"	"7569-7577"	"2015"	"journals/tie/AS15"	"Journal Articles"	"10.1109/TIE.2015.2455523"	"https://doi.org/10.1109/TIE.2015.2455523"	"https://dblp.org/rec/journals/tie/AS15"
"Impact of network structure on synchronization of Hindmarsh-Rose neurons coupled in structured network."	"    Abhirup Bandyopadhyay    Samarjit Kar"	"    211/3186    50/2990"	"Appl. Math. Comput."	"333"	"/"	"194-212"	"2018"	"journals/amc/BandyopadhyayK18a"	"Journal Articles"	"10.1016/J.AMC.2018.03.084"	"https://doi.org/10.1016/j.amc.2018.03.084"	"https://dblp.org/rec/journals/amc/BandyopadhyayK18a"
"An analysis of the high resolution property of group delay function with applications to audio signal processing."	"    Jilt Sebastian    Manoj Kumar P. A.    Hema A. Murthy"	"    180/9002    180/9017    38/5502"	"Speech Commun."	"81"	"/"	"42-53"	"2016"	"journals/speech/SebastianAM16"	"Journal Articles"	"10.1016/J.SPECOM.2015.12.008"	"https://doi.org/10.1016/j.specom.2015.12.008"	"https://dblp.org/rec/journals/speech/SebastianAM16"
"Modified Hodgkin-Huxley Equations Arising from Mesoscopic Voltage-Gated Processes."	"Mauricio Tejo A."	"122/2538"	"Open Syst. Inform. Dynam."	"19"	"2"	"/"	"2012"	"journals/osid/A12"	"Journal Articles"	"10.1142/S123016121250014X"	"https://doi.org/10.1142/S123016121250014X"	"https://dblp.org/rec/journals/osid/A12"
"Máquinas de aprendizaje para clasificar señales electroencefalográficas."	"    Naive Angulo H.    José Sanz    Victor Malavé    Mireya Barrera A.    Heriberto Spinetti    Pablo Guillén"	"    65/9533    81/9534    05/9537    67/9535    39/9533    73/9533"	"RASI"	"6"	"1"	"213-218"	"2009"	"journals/rasi/HSMASG09"	"Journal Articles"	"/"	"http://www.minas.medellin.unal.edu.co/index.php?option=com_docman&amp;task=doc_view&amp;gid=570&amp;tmpl=component&amp;format=raw&amp;Itemid=285"	"https://dblp.org/rec/journals/rasi/HSMASG09"
"Special issue - V Congress of Theoretical and Computational Physical Chemistry, 8-10 of December of 2014, Altos de Pipe, Caracas, Venezuela."	"    Fernando Ruette    Anibal Sierraalta    Morella Sánchez    Ney Luiggi A."	"    80/2937    21/5871    64/5768    144/8159"	"J. Comput. Meth. in Science and Engineering"	"17"	"1"	"3-4"	"2017"	"journals/jcmse/RuetteSSA17"	"Journal Articles"	"10.3233/JCM-160655"	"https://doi.org/10.3233/JCM-160655"	"https://dblp.org/rec/journals/jcmse/RuetteSSA17"
"DFT calculations of iron-carbides using the FPLAPW method."	"Ney Luiggi A."	"144/8159"	"J. Comput. Meth. in Science and Engineering"	"17"	"1"	"109-118"	"2017"	"journals/jcmse/A17"	"Journal Articles"	"10.3233/JCM-160666"	"https://doi.org/10.3233/JCM-160666"	"https://dblp.org/rec/journals/jcmse/A17"
"Electronic properties of the intermetallic compound Ti2In5 using the density functional theory."	"    F. Pabel J. Machado    Ney Luiggi A."	"    144/8145    144/8159"	"J. Comput. Meth. in Science and Engineering"	"17"	"1"	"119-126"	"2017"	"journals/jcmse/MachadoA17"	"Journal Articles"	"10.3233/JCM-160667"	"https://doi.org/10.3233/JCM-160667"	"https://dblp.org/rec/journals/jcmse/MachadoA17"
"Electrical resistivity anomaly - A consequence of nanometric particles in a metal matrix."	"    Diego Subero    Ney Luiggi A."	"    144/8166    144/8159"	"J. Comput. Meth. in Science and Engineering"	"14"	"1-3"	"29-43"	"2014"	"journals/jcmse/SuberoL14"	"Journal Articles"	"10.3233/JCM-140482"	"https://doi.org/10.3233/JCM-140482"	"https://dblp.org/rec/journals/jcmse/SuberoL14"
"Adapting the condensation and evaporation model to the study of kinetics of phase transformations in binary metal systems."	"    M. Gómez    Ney Luiggi A."	"    21/1511    144/8159"	"J. Comput. Meth. in Science and Engineering"	"14"	"1-3"	"179-194"	"2014"	"journals/jcmse/GomezA14"	"Journal Articles"	"10.3233/JCM-140495"	"https://doi.org/10.3233/JCM-140495"	"https://dblp.org/rec/journals/jcmse/GomezA14"
"A graph model based feature set selection from short texts with application to document novelty detection."	"    Novino Nirmal A.    Kyung-Ah Sohn    Tae-Sun Chung"	"    165/9434    65/3835    38/4232"	"Intell. Data Anal."	"21"	"5"	"1117-1139"	"2017"	"journals/ida/ASC17"	"Journal Articles"	"10.3233/IDA-163026"	"https://doi.org/10.3233/IDA-163026"	"https://dblp.org/rec/journals/ida/ASC17"
"A Stabilizable Control Laws For a Rotational Pendulum - A Trajectory Planning Approach."	"    Carlos Aguilar Ibáñez    Oscar Chavoya A."	"    31/6418    127/4378"	"Computación y Sistemas"	"7"	"4"	"/"	"2004"	"journals/cys/IbanezA04"	"Journal Articles"	"/"	"http://cys.cic.ipn.mx/ojs/index.php/CyS/article/view/1067"	"https://dblp.org/rec/journals/cys/IbanezA04"
"Pseudocontinuity in Hierarchical Classifications."	"    Miquel Salicru    Pedro Sanchez A."	"    24/7849    85/4700"	"Inf. Sci."	"120"	"1-4"	"257-265"	"1999"	"journals/isci/SalicruS99"	"Journal Articles"	"10.1016/S0020-0255(99)00061-4"	"https://doi.org/10.1016/S0020-0255(99)00061-4"	"https://dblp.org/rec/journals/isci/SalicruS99"
"Concentration bounds for empirical conditional value-at-risk - The unbounded case."	"    Ravi Kumar Kolla    Prashanth L. A.    Sanjay P. Bhat    Krishna P. Jagannathan"	"    176/5097    90/3161    58/7139    92/4718"	"Oper. Res. Lett."	"47"	"1"	"16-20"	"2019"	"journals/orl/KollaABJ19"	"Journal Articles"	"10.1016/J.ORL.2018.11.005"	"https://doi.org/10.1016/j.orl.2018.11.005"	"https://dblp.org/rec/journals/orl/KollaABJ19"
"Stochastic Optimization in a Cumulative Prospect Theory Framework."	"    Cheng Jie    Prashanth L. A.    Michael C. Fu 0001    Steven I. Marcus    Csaba Szepesvári"	"    181/2002    90/3161    f/MichaelCFu    93/5913    62/567"	"IEEE Trans. Automat. Contr."	"63"	"9"	"2867-2882"	"2018"	"journals/tac/JieAFMS18"	"Journal Articles"	"10.1109/TAC.2018.2822658"	"https://doi.org/10.1109/TAC.2018.2822658"	"https://dblp.org/rec/journals/tac/JieAFMS18"
"Concentration bounds for empirical conditional value-at-risk - The unbounded case."	"    Ravi Kumar Kolla    Prashanth L. A.    Sanjay P. Bhat    Krishna P. Jagannathan"	"    176/5097    90/3161    58/7139    92/4718"	"Oper. Res. Lett."	"47"	"1"	"16-20"	"2019"	"journals/orl/KollaABJ19"	"Journal Articles"	"10.1016/J.ORL.2018.11.005"	"https://doi.org/10.1016/j.orl.2018.11.005"	"https://dblp.org/rec/journals/orl/KollaABJ19"
"Adaptive System Optimization Using Random Directions Stochastic Approximation."	"    Prashanth L. A.    Shalabh Bhatnagar    Michael C. Fu 0001    Steven I. Marcus"	"    90/3161    71/2542    f/MichaelCFu    93/5913"	"IEEE Trans. Automat. Contr."	"62"	"5"	"2223-2238"	"2017"	"journals/tac/ABFM17"	"Journal Articles"	"10.1109/TAC.2016.2600643"	"https://doi.org/10.1109/TAC.2016.2600643"	"https://dblp.org/rec/journals/tac/ABFM17"
"Variance-constrained actor-critic algorithms for discounted and average reward MDPs."	"    Prashanth L. A.    Mohammad Ghavamzadeh"	"    90/3161    88/6389"	"Machine Learning"	"105"	"3"	"367-417"	"2016"	"journals/ml/AG16"	"Journal Articles"	"10.1007/S10994-016-5569-5"	"https://doi.org/10.1007/s10994-016-5569-5"	"https://dblp.org/rec/journals/ml/AG16"
"A constrained optimization perspective on actor-critic algorithms and application to network routing."	"    Prashanth L. A.    H. L. Prasad    Shalabh Bhatnagar    Prakash Chandra"	"    90/3161    31/10493    71/2542    166/1351"	"Syst. Control. Lett."	"92"	"/"	"46-51"	"2016"	"journals/scl/APBC16"	"Journal Articles"	"10.1016/J.SYSCONLE.2016.02.020"	"https://doi.org/10.1016/j.sysconle.2016.02.020"	"https://dblp.org/rec/journals/scl/APBC16"
"Simultaneous Perturbation Newton Algorithms for Simulation Optimization."	"    Shalabh Bhatnagar    Prashanth L. A."	"    71/2542    90/3161"	"J. Optimization Theory and Applications"	"164"	"2"	"621-643"	"2015"	"journals/jota/BhatnagarA15"	"Journal Articles"	"10.1007/S10957-013-0507-1"	"https://doi.org/10.1007/s10957-013-0507-1"	"https://dblp.org/rec/journals/jota/BhatnagarA15"
"Simultaneous perturbation methods for adaptive labor staffing in service systems."	"    Prashanth L. A.    H. L. Prasad    Nirmit Desai    Shalabh Bhatnagar    Gargi Dasgupta"	"    90/3161    31/10493    20/4938    71/2542    40/6666"	"Simulation"	"91"	"5"	"432-455"	"2015"	"journals/simulation/APDBD15"	"Journal Articles"	"10.1177/0037549715581198"	"https://doi.org/10.1177/0037549715581198"	"https://dblp.org/rec/journals/simulation/APDBD15"
"A constrained optimization perspective on actor-critic algorithms and application to network routing."	"    Prashanth L. A.    H. L. Prasad    Shalabh Bhatnagar    Prakash Chandra"	"    90/3161    31/10493    71/2542    166/1351"	"Syst. Control. Lett."	"92"	"/"	"46-51"	"2016"	"journals/scl/APBC16"	"Journal Articles"	"10.1016/J.SYSCONLE.2016.02.020"	"https://doi.org/10.1016/j.sysconle.2016.02.020"	"https://dblp.org/rec/journals/scl/APBC16"
"Two timescale convergent Q-learning for sleep-scheduling in wireless sensor networks."	"    Prashanth L. A.    Abhranil Chatterjee 0002    Shalabh Bhatnagar"	"    90/3161    139/0807-2    71/2542"	"Wireless Networks"	"20"	"8"	"2589-2604"	"2014"	"journals/winet/ACB14"	"Journal Articles"	"10.1007/S11276-014-0762-6"	"https://doi.org/10.1007/s11276-014-0762-6"	"https://dblp.org/rec/journals/winet/ACB14"
"Simultaneous perturbation methods for adaptive labor staffing in service systems."	"    Prashanth L. A.    H. L. Prasad    Nirmit Desai    Shalabh Bhatnagar    Gargi Dasgupta"	"    90/3161    31/10493    20/4938    71/2542    40/6666"	"Simulation"	"91"	"5"	"432-455"	"2015"	"journals/simulation/APDBD15"	"Journal Articles"	"10.1177/0037549715581198"	"https://doi.org/10.1177/0037549715581198"	"https://dblp.org/rec/journals/simulation/APDBD15"
"Threshold Tuning Using Stochastic Optimization for Graded Signal Control."	"    Prashanth L. A.    Shalabh Bhatnagar"	"    90/3161    71/2542"	"IEEE Trans. Vehicular Technology"	"61"	"9"	"3865-3880"	"2012"	"journals/tvt/PrashanthB12"	"Journal Articles"	"10.1109/TVT.2012.2209904"	"https://doi.org/10.1109/TVT.2012.2209904"	"https://dblp.org/rec/journals/tvt/PrashanthB12"
"Reinforcement Learning With Function Approximation for Traffic Signal Control."	"    Prashanth L. A.    Shalabh Bhatnagar"	"    90/3161    71/2542"	"IEEE Trans. Intelligent Transportation Systems"	"12"	"2"	"412-421"	"2011"	"journals/tits/PrashanthB11"	"Journal Articles"	"10.1109/TITS.2010.2091408"	"https://doi.org/10.1109/TITS.2010.2091408"	"https://dblp.org/rec/journals/tits/PrashanthB11"
"A novel, generalized recommender system for social media using the collaborative-filtering technique."	"    Ramesh A.    Anusha J.    Clarence J. M. Tauro"	"    148/0038    148/0037    144/7163"	"ACM SIGSOFT Software Engineering Notes"	"39"	"3"	"1-4"	"2014"	"journals/sigsoft/AJT14"	"Journal Articles"	"10.1145/2597716.2597721"	"https://doi.org/10.1145/2597716.2597721"	"https://dblp.org/rec/journals/sigsoft/AJT14"
"The PROMOTE UV Record - Toward a Global Satellite-Based Climatology of Surface Ultraviolet Irradiance."	"    Anders V. Lindfors    Aapo Tanskanen    Antti Arola    Ronald van der A.    Alkiviadis Bais    Uwe Feister    Michal Janouch    Weine Josefsson    Tapani Koskela    Kaisa Lakkala    Peter den Outer    Andrew R. D. Smedley    Harry Slaper    Ann R. Webb"	"    196/9693    50/10421    06/10416    121/6486    238/1272    238/0876    238/1610    238/1064    238/1518    238/0921    186/9623    238/0900    238/0877    238/1137"	"IEEE J Sel. Topics in Appl. Earth Observ. and Remote Sensing"	"2"	"3"	"207-212"	"2009"	"journals/staeors/LindforsTAABFJJ09"	"Journal Articles"	"10.1109/JSTARS.2009.2030876"	"https://doi.org/10.1109/JSTARS.2009.2030876"	"https://dblp.org/rec/journals/staeors/LindforsTAABFJJ09"
"Active Eye-in-Hand Data Management to Improve the Robotic Object Detection Performance."	"    Pourya Hoseini    Janelle Blankenburg    Mircea Nicolescu    Monica N. Nicolescu    David Feil-Seifer"	"    52/8571    212/3826    87/424    38/4786    70/2977"	"Computers"	"8"	"4"	"71"	"2019"	"journals/computers/HoseiniBNNF19"	"Journal Articles"	"10.3390/COMPUTERS8040071"	"https://doi.org/10.3390/computers8040071"	"https://dblp.org/rec/journals/computers/HoseiniBNNF19"
